SMILES,QED,SA
C[C@@H](c1ccc(N)cc1)c1ccc([C@@H]2O[C@@H]3C[C@H]4[C@@H]5C[C@H](F)C6=CC(=O)C=C[C@]6(C)[C@@]5(F)[C@@H](O)C[C@]4(C)[C@]3(C(=O)CO)O2)cc1,0.400467821835129,5.16237856389363
CC(C)(C)C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N4CCCC4)cc3)C[C@@]21C,0.4487966891631875,4.4060577967992485
Cc1ccncc1Nc1ccc2c(c1)CCC1=C3C[C@@H](O)C[C@]3(C)CC[C@]12Cc1ccccc1,0.4291554299600361,4.003238982513482
Cc1ccc(F)cc1C(C)(C)CC(O)(Cc1cc2cnncc2[nH]1)C(F)(F)F,0.6204901730538112,3.496380048780402
CCCCNC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0.49091947889423343,4.717537942255923
COc1ccc(Cn2nnc(Cn3nc(C)c4c(Cl)c(C(=O)Nc5ccc(C(F)(F)F)cc5)cnc43)c2C)cc1,0.27107808149268575,2.788963058059011
Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccc(Oc2ccc(CCCC(=O)O)cc2)cc1,0.18796251261794686,2.421184074542527
CC(C)(C)OC(=O)N1CCC(n2ncc3c(Cl)c(C(=O)Nc4ccc(Cl)cc4)cnc32)CC1,0.5192423283361545,2.5342818480737055
CC(C)(C(=O)Nc1nccs1)C(c1ccccc1)c1ccc2c(-c3cccc(C#N)c3)ncn2c1,0.31902693288074807,3.3976483599082297
CC(C)(C(=O)Nc1nccs1)C(c1ccccc1)c1ccc(O)c(F)c1,0.679038961409007,2.9220939934704795
CCCN(c1ccccc1)S(=O)(=O)c1ccc(-c2ccc3c(cnn3-c3ccc(F)cc3)c2)c(C(F)(F)F)c1,0.1967474020028066,2.594467622159211
Cc1nn(-c2ccccc2)c2ncc(C(=O)NCCCc3ccccc3)c(Cl)c12,0.47179098344327547,2.1570429434992473
CC[C@@]12C[C@@](C)(O)[C@](O)(c3ccc(C)cc3)C[C@H]1CCc1cc(O)ccc12,0.7407121346577923,3.8668265832263558
C[C@@]1(c2ccc(Sc3ccc(N)cc3)cc2)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0.40062522454208527,4.975016392812451
CCN(C[C@](O)(CNC(=O)c1cnn(-c2ccc(F)cc2)c1N)C(F)(F)F)C(=O)c1c(Cl)cccc1Cl,0.3584214587152692,3.3248272463082866
Cc1noc(=O)c2ccc(NC(=O)C(O)(CC(C)(C)c3cccc4c3OCC4)C(F)(F)F)cc12,0.5767111342902008,3.481415676990018
CC(C)(C(=O)Nc1nccs1)C(c1ccccc1)c1ccn2c(-c3ccccc3)ncc2c1,0.33099983420133644,3.2810667124713238
COc1ccccc1-c1c[nH]c2c(NS(C)(=O)=O)cccc12,0.7761331214081384,2.1523424638865087
Cc1ccc(F)cc1C(C)(C)CC(O)(Cn1ccc(=O)c2ccccc21)C(F)(F)F,0.5820009757942233,3.151194197674643
Cc1noc(=O)c2ccc(NC(=O)C(O)(CC3CCCc4ccc(F)cc43)C(F)(F)F)cc12,0.5595154352650922,3.6711166288561143
COc1ccc(F)cc1C(C)(C)C[C@](O)(Cc1cc2ccncc2[nH]1)C(F)(F)F,0.567725605551682,3.270500027494138
Cc1cc(-c2cccc3cc[nH]c23)c(Cl)c2c1NC(C)(C)C(=O)C2C,0.5919424363569973,3.560589758601017
C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@H]1[C@@H]3C[C@H]4CN(c5ccccc5)C[C@@]4(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,0.6675045856563734,4.8857071094633024
COc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1cccc(Oc3ccccc3)c1)O2,0.37135866783004184,2.844288872918513
C[C@H]1c2c(cc(F)c(-c3cccc4c(Cl)c[nH]c34)c2F)NC(C)(C)[C@@H]1OC(=O)NCc1ccccc1,0.2688950671636078,3.749655846005835
COc1ccc(-n2ncc3c(NC[C@H](C)NS(=O)(=O)c4c(C)cc(C)cc4C)cc(C)cc32)cc1,0.35968243672548217,3.030164794295522
Cc1noc(C)c1-c1ccc(CNS(=O)(=O)c2c(C)noc2C)cc1,0.749867002658679,2.359735517113098
COc1c(O)ccc2c1-c1ccc3c(c1/C(=C/c1cccc(Oc4ccccc4)c1)O2)C(C)=CC(C)(C)N3,0.2929851677394417,2.932799763640528
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,0.7945777931739687,4.0678517684852835
Nc1c(C(=O)NCC(O)(CC2(c3cc(F)ccc3Cl)CCC2)C(F)(F)F)cnn1-c1ccccc1,0.39870226749237553,3.3942454990933015
CC(C)Cc1cc2c(cc1F)OC[C@H](CS(N)(=O)=O)N2C(=O)c1ccc2c(c1)NC(=O)CO2,0.6784660371284771,3.509189593916802
