Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL1911272,,None,517.59,2,5.34,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1911661,,None,506.55,1,4.58,32,CC(C)(CC(O)(Cc1cc2cc(C#N)ccc2[nH]1)C(F)(F)F)c1cc(S(C)(=O)=O)cc2c1OCC2,IC50,'=',5,nM,8.3,,,UO_0000065,16.39,0.32,3.72,8.05,0,CHEMBL1913330,Displacement of tetramethylrhodamine-labeled Dexamethasone from human recombinant glucocorticoid receptor expressed in baculovirus infected insect cells by fluorescence polarization assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909618,1,Scientific Literature,Bioorg Med Chem Lett,2011,None,,,,5
CHEMBL1911664,,None,506.55,1,4.58,(R)-33,CC(C)(C[C@@](O)(Cc1cc2ccc(C#N)cc2[nH]1)C(F)(F)F)c1cc(S(C)(=O)=O)cc2c1OCC2,IC50,'=',2,nM,8.7,,,UO_0000065,17.17,0.34,4.12,8.43,0,CHEMBL1913330,Displacement of tetramethylrhodamine-labeled Dexamethasone from human recombinant glucocorticoid receptor expressed in baculovirus infected insect cells by fluorescence polarization assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909618,1,Scientific Literature,Bioorg Med Chem Lett,2011,None,,,,2
CHEMBL2204042,,None,394.9,0,4.75,6,O=c1[nH]c(=O)c(Cc2ccccc2Cl)c([C@H]2CC[C@@H](c3ccccc3)CC2)[nH]1,Ki,'=',7,nM,8.15,,,UO_0000065,20.65,0.4,3.4,12.41,0,CHEMBL2216234,Displacement of [3H]dexamethasone from human recombinant glucocorticoid receptor expressed in baculovirus after 18 hrs by scintillation counting analysis,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2203046,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,,,7
CHEMBL3358923,,None,408.44,1,5.52,11,Cc1cc2cc(CC(O)(CC(C)(C)c3cc(F)ccc3C)C(F)(F)F)[nH]c2cn1,IC50,'=',22,nM,7.66,,,UO_0000065,18.75,0.36,2.14,15.66,0,CHEMBL3374291,Displacement of RU-486 from GR (unknown origin) by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3352560,1,Scientific Literature,ACS Med Chem Lett,2014,None,,,,22
CHEMBL3315065,,None,484.56,0,4.44,33,CC(C)(C(=O)NC(N)=O)[C@H]1c2ccccc2Oc2nc(-c3ccc(C(=O)N4CCCC4)cc3)ccc21,EC50,'=',49.3,nM,7.31,,,UO_0000065,15.08,0.28,2.87,6.38,0,CHEMBL3370899,Agonist activity at glucocorticoid receptor in human HeLa cells assessed as NP-1 transactivation by luciferase reporter gene assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3351663,1,Scientific Literature,Bioorg Med Chem Lett,2014,CHEMBL3308376,,,,49.3
CHEMBL4483495,,None,395.42,0,1.87,(S)-24,CNC(=O)C[C@H]1COc2cc(C)ccc2N1C(=O)c1ccc2c(c1)NC(=O)CO2,Ki,'=',316.23,nM,6.5,,,UO_0000065,16.44,0.31,4.63,6.7,0,CHEMBL4423291,Binding affinity to recombinant human GR LBD by fluormone GS red-fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4422622,1,Scientific Literature,J Med Chem,2019,None,,,,6.5
CHEMBL131,PREDNISOLONE,4,360.45,0,1.56,PREDNISOLONE,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,Ki,'=',7.397,nM,8.13,,,UO_0000065,22.56,0.43,6.57,8.57,0,CHEMBL1909150,DRUGMATRIX: Glucocorticoid radioligand binding (ligand: [3H] Dexamethasone),B,BAO_0000219,cell-based format,None,None,None,HeLa S3,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3886002,,,,0.007397
CHEMBL1911545,,None,423.45,1,5.83,11,COc1ccc(F)cc1C(C)(C)CC(O)(Cc1cc2cccc(C)c2[nH]1)C(F)(F)F,IC50,'=',56,nM,7.25,,,UO_0000065,17.13,0.33,1.42,16.03,0,CHEMBL1913330,Displacement of tetramethylrhodamine-labeled Dexamethasone from human recombinant glucocorticoid receptor expressed in baculovirus infected insect cells by fluorescence polarization assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909618,1,Scientific Literature,Bioorg Med Chem Lett,2011,None,,,,56
CHEMBL3582112,,None,338.45,0,4.5,3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
