SMILES,QED,SA,predicted_pIC50
Cc1noc(C)c1-c1cc2c(cc1Cl)NC(C)(C)C(=O)C2(C)C,0.8245780254111686,3.008572307652271,7.279063091135201
CN(C)C(=O)NC(=O)C(C)(C)[C@@H]1c2ccc(-c3ccc(C(=O)N4CCOCC4)cc3)nc2Oc2c(F)cccc21,0.520053417352539,3.5041386564508965,5.978979663152669
CC(C)(CC(O)(CC1CCCCC1)C(=O)Nc1ccc2c(c1)COC2=O)c1ccccc1,0.5738555143566664,3.179117053382921,7.1249106742687
C/C=C/C1=CC2=C(CO1)C(=O)[C@]1(C)OC(=O)[C@H](C(O)CCCCC)C1C2,0.5814526915632312,4.776557187775072,6.283814671506746
Cc1nn(CC2CCN(C)CC2)c2ncc(C(=O)Nc3ccc(C(F)(F)F)cc3)c(Cl)c12,0.5882656176669322,2.570299166769315,6.6840610877521325
Cc1nn(Cc2cccnc2)c2ncc(C(=O)Nc3ccc(C(C)C)cc3)c(Cl)c12,0.48142226339788713,2.3524448924666963,6.649510828909068
CNC(=O)NC(=O)C(C)(C)[C@@H]1c2ccc(Cl)nc2Oc2c(F)cccc21,0.7835684404017841,3.482399299277928,6.297847304613015
Cc1nn(CCN2CCN(C(C)C)CC2)c2ncc(C(=O)Nc3ccc(Cl)cc3)c(Cl)c12,0.5753208199404439,2.477621742395936,6.48781393811788
COc1ccc(F)cc1C(C)(C)CC(O)(Cn1cnc(=O)c2ccccc21)C(F)(F)F,0.5861055796983415,3.1718705107854923,6.501656323160675
Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccc(Oc2ccc(CCC(=O)NCCO[C@@H]3CC[C@]4(C)[C@H](C3)C[C@H](O)[C@@H]3[C@@H]4C[C@@H](O)[C@]4(C)[C@H]3CC[C@H]4[C@@H](C)CCC(=O)O)cc2)cc1,0.05365873939755812,5.388650910452057,7.587191634862494
CCCOC[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCN(S(=O)(=O)c1ccc(C(F)(F)F)cc1)C2,0.2894465618562566,3.408136377849317,7.6652882815085865
CN1CCC(Oc2ccc(N3C(=S)N(c4cnc(C#N)c(C(F)(F)F)c4)C(=O)C34CCC4)cc2)CC1,0.5552614637706631,3.553725103459585,5.308037426725261
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)SCCCP(=O)(O)O,0.3126132050984234,5.2579934672558295,7.741287064525483
C[C@H](CCC(=O)N1CCOCC1)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0.6565816469106466,4.426003621870303,6.335116817760528
